XY
realPoint:(62,206)
point:(378.7522785507856, 39.09119350976016)   distance=34.90880649023984     ¡Ì
point:(720.5828944811483, -59.22477082905209)   distance=133.2247708290521     ¡Ì
point:(698.4645444936598, -416.1318041484136)   distance=490.1318041484136
point:(843.9737583488188, 111.445677898609)   distance=37.445677898609006     ¡Ì
point:(388.4692045095711, 191.1406333057049)   distance=117.14063330570491     ¡Ì
point:(492.9854409172664, -97.16558460279464)   distance=171.16558460279464
point:(496.9182634568285, 64.34642518627982)   distance=9.653574813720184     ¡Ì
point:(487.64390763167273, -271.1476466918183)   distance=345.1476466918183
point:(379.0282640058101, -399.75163512756296)   distance=473.75163512756296
point:(615.124931919854, -246.17409870325616)   distance=320.17409870325616
point:(618.8745933529462, 232.98408817606014)   distance=158.98408817606014
point:(618.8745933529462, 232.98408817606014)   distance=158.98408817606014
point:(710.2280748604198, -231.4432613387579)   distance=305.4432613387579
point:(623.1442986759017, 86.25571739513566)   distance=12.255717395135662     ¡Ì
point:(843.9737583488188, 111.445677898609)   distance=37.445677898609006     ¡Ì
point:(377.86742744614946, -76.5753580350929)   distance=150.5753580350929
point:(623.9191106319756, -59.89783257069632)   distance=133.89783257069632     ¡Ì
point:(395.7385877873097, 192.7148391839538)   distance=118.71483918395381     ¡Ì
point:(613.8438383918483, 84.82391647659449)   distance=10.82391647659449     ¡Ì
point:(613.8438383918483, 84.82391647659449)   distance=10.82391647659449     ¡Ì
XY
realPoint:(1262,675)
critical distance is 144.00
point:(1264.1187271047365, 791.0019391428712)   distance=116.02128636354075     ¡Ì
point:(1097.8479829384003, 395.7524825575126)   distance=323.9213804354137
point:(969.7287878345694, 263.10476236079717)   distance=505.05459927665794
point:(1361.178870000302, 604.0138301545256)   distance=121.96509567850681     ¡Ì
point:(1097.8479829384003, 395.7524825575126)   distance=323.9213804354137
point:(1228.3313436603112, 509.3888384887556)   distance=168.9989208155589
point:(1461.097022912455, 482.9424813107658)   distance=276.63281623420636
point:(1138.3553430194277, 799.7038645215356)   distance=175.6105208307546
point:(1179.8655635016014, 115.54526713509301)   distance=565.4517342654932
point:(990.6040245240747, 516.7242341219253)   distance=314.17669163835205
point:(1097.8479829384003, 395.7524825575126)   distance=323.9213804354137
point:(1228.3313436603112, 509.3888384887556)   distance=168.9989208155589
point:(1241.669182221151, 615.7299243400771)   distance=62.66006719027475     ¡Ì
point:(969.4662818930046, 624.6365110022515)   distance=296.8374256281195
point:(854.0177996450514, 257.8422780187565)   distance=583.4981069506961
point:(875.6976590575599, 622.2117645795013)   distance=389.8924164643616
point:(1110.0878890777044, 515.4454064984429)   distance=220.30650864719127
point:(1097.8479829384003, 395.7524825575126)   distance=323.9213804354137
point:(1110.0878890777044, 515.4454064984429)   distance=220.30650864719127
point:(1345.3343882718946, 498.55453009286316)   distance=195.13488698692814
point:(1224.344307897587, 477.3787010782345)   distance=201.17685984038403
point:(1209.4957464771467, 510.67895352425853)   distance=172.50537079428815
point:(980.8707615523379, 396.14952439133606)   distance=395.96873166620185
point:(1097.8479829384003, 395.7524825575126)   distance=323.9213804354137
point:(990.6040245240747, 516.7242341219253)   distance=314.17669163835205
point:(1400.2600507093348, 845.5714165398152)   distance=219.56878139331872
point:(747.9150655037463, 504.9486682102751)   distance=541.4801707537189
point:(1111.205490940215, 623.0169480586871)   distance=159.50304590105736
point:(980.8707615523379, 396.14952439133606)   distance=395.96873166620185
point:(869.879749999422, 513.2253213592028)   distance=424.18078352260255
point:(1110.0878890777044, 515.4454064984429)   distance=220.30650864719127
point:(990.6040245240747, 516.7242341219253)   distance=314.17669163835205
point:(1110.0878890777044, 515.4454064984429)   distance=220.30650864719127
point:(1097.8479829384003, 395.7524825575126)   distance=323.9213804354137
point:(1244.07994120114, 792.7153113574104)   distance=119.07150387614445     ¡Ì
point:(990.6040245240747, 516.7242341219253)   distance=314.17669163835205
point:(862.6531301952525, 391.7688258389544)   distance=489.58944069443993
point:(1138.3553430194277, 799.7038645215356)   distance=175.6105208307546
point:(1144.9604061746056, 869.5165792626672)   distance=227.01314087704873
point:(1110.0878890777044, 515.4454064984429)   distance=220.30650864719127
point:(1137.8987708362572, 621.9845285787645)   distance=134.95093660278036     ¡Ì
point:(1120.9190844709772, 622.6682781394235)   distance=150.47403044844654
point:(986.8797646249038, 469.9907565056836)   distance=343.10338650465144
point:(980.8707615523379, 396.14952439133606)   distance=395.96873166620185
point:(1228.3313436603112, 509.3888384887556)   distance=168.9989208155589
point:(1213.5847943534395, 390.5777003374843)   distance=288.51356412327067
point:(1136.2078762613917, 514.522891661448)   distance=203.90331212457704
point:(1241.669182221151, 615.7299243400771)   distance=62.66006719027475     ¡Ì
point:(854.0177996450514, 257.8422780187565)   distance=583.4981069506961
point:(1015.4499689507065, 874.3225500447857)   distance=317.0432096209658
point:(1110.0878890777044, 515.4454064984429)   distance=220.30650864719127
point:(1400.2600507093348, 845.5714165398152)   distance=219.56878139331872
point:(862.6531301952525, 391.7688258389544)   distance=489.58944069443993
point:(1328.0811957974556, 380.6251777312509)   distance=301.70061389360694
point:(998.9285767497802, 624.8288915525649)   distance=267.81283362404537
point:(1213.5847943534395, 390.5777003374843)   distance=288.51356412327067
point:(1097.8479829384003, 395.7524825575126)   distance=323.9213804354137
point:(883.107344935741, 802.7744941202495)   distance=399.85743135438815
point:(1097.8479829384003, 395.7524825575126)   distance=323.9213804354137
point:(875.6976590575599, 622.2117645795013)   distance=389.8924164643616
point:(1011.3515489630959, 803.628049513995)   distance=281.7265005798604
point:(846.9280879549639, 153.69370720408517)   distance=666.3669732792453
point:(1228.3313436603112, 509.3888384887556)   distance=168.9989208155589
point:(1097.8479829384003, 395.7524825575126)   distance=323.9213804354137
point:(943.2187081609378, -40.394918600129586)   distance=783.2058487942154
point:(980.8707615523379, 396.14952439133606)   distance=395.96873166620185
point:(1097.8479829384003, 395.7524825575126)   distance=323.9213804354137
point:(980.8707615523379, 396.14952439133606)   distance=395.96873166620185
point:(880.1068573696662, 718.7281554998502)   distance=384.38850655488073
point:(1212.8022841504667, 617.8308591751421)   distance=75.42364289441245     ¡Ì
point:(1084.1993660530643, 263.5895063166329)   distance=448.1870811890098
point:(1213.5847943534395, 390.5777003374843)   distance=288.51356412327067
point:(1328.0811957974556, 380.6251777312509)   distance=301.70061389360694
point:(763.3327712922542, 712.9119413020218)   distance=500.1063089787523
point:(1138.3553430194277, 799.7038645215356)   distance=175.6105208307546
point:(1361.178870000302, 604.0138301545256)   distance=121.96509567850681     ¡Ì
point:(1097.8479829384003, 395.7524825575126)   distance=323.9213804354137
point:(1400.2600507093348, 845.5714165398152)   distance=219.56878139331872
point:(875.6976590575599, 622.2117645795013)   distance=389.8924164643616
point:(1253.5983100359597, 709.600957891449)   distance=35.606385400061036     ¡Ì
point:(978.9320811789827, 263.3193627234764)   distance=499.60824029840285
point:(1228.3313436603112, 509.3888384887556)   distance=168.9989208155589
point:(1479.44814780843, 587.5199955827693)   distance=234.3852558463426
point:(869.879749999422, 513.2253213592028)   distance=424.18078352260255
point:(1110.0878890777044, 515.4454064984429)   distance=220.30650864719127
point:(1270.4646326775046, 613.3537916587666)   distance=62.224633459875335     ¡Ì
point:(990.6040245240747, 516.7242341219253)   distance=314.17669163835205
point:(969.7287878345694, 263.10476236079717)   distance=505.05459927665794
point:(862.6531301952525, 391.7688258389544)   distance=489.58944069443993
point:(1097.8479829384003, 395.7524825575126)   distance=323.9213804354137
point:(883.107344935741, 802.7744941202495)   distance=399.85743135438815
point:(1011.3515489630959, 803.628049513995)   distance=281.7265005798604
point:(1084.1993660530643, 263.5895063166329)   distance=448.1870811890098
point:(1138.3553430194277, 799.7038645215356)   distance=175.6105208307546
point:(1130.341569118218, 717.4210974804544)   distance=138.3238661030668     ¡Ì
point:(1253.5983100359597, 709.600957891449)   distance=35.606385400061036     ¡Ì
point:(880.1068573696662, 718.7281554998502)   distance=384.38850655488073
point:(1273.2304334274818, 859.9328680943437)   distance=185.27355001880065
point:(1120.9190844709772, 622.6682781394235)   distance=150.47403044844654
point:(1084.1993660530643, 263.5895063166329)   distance=448.1870811890098
point:(1019.3932774063032, 516.8530454155115)   distance=289.6005543710219
point:(1138.3553430194277, 799.7038645215356)   distance=175.6105208307546
point:(1110.0878890777044, 515.4454064984429)   distance=220.30650864719127
point:(1011.3515489630959, 803.628049513995)   distance=281.7265005798604
point:(1052.272637476965, 263.93537423992836)   distance=461.47556072032273
point:(875.6976590575599, 622.2117645795013)   distance=389.8924164643616
point:(1005.8444182294538, 720.4634966832548)   distance=260.15881995979936
point:(1005.8444182294538, 720.4634966832548)   distance=260.15881995979936
point:(869.879749999422, 513.2253213592028)   distance=424.18078352260255
point:(1028.3194239922248, 624.7460742566328)   distance=239.0231550623192
point:(1097.8479829384003, 395.7524825575126)   distance=323.9213804354137
point:(1241.669182221151, 615.7299243400771)   distance=62.66006719027475     ¡Ì
point:(1120.9190844709772, 622.6682781394235)   distance=150.47403044844654
point:(1011.3515489630959, 803.628049513995)   distance=281.7265005798604
point:(1228.3313436603112, 509.3888384887556)   distance=168.9989208155589
point:(1005.8444182294538, 720.4634966832548)   distance=260.15881995979936
point:(1095.3132270390238, 801.574149890304)   distance=209.2976246893337
point:(1273.2304334274818, 859.9328680943437)   distance=185.27355001880065
X
point:(1264.1187271047365, 791.0019391428712)   distance=2.1187271047365357     ¡Ì
point:(1097.8479829384003, 395.7524825575126)   distance=164.15201706159974
point:(969.7287878345694, 263.10476236079717)   distance=292.2712121654306
point:(1361.178870000302, 604.0138301545256)   distance=99.17887000030191     ¡Ì
point:(1097.8479829384003, 395.7524825575126)   distance=164.15201706159974
point:(1228.3313436603112, 509.3888384887556)   distance=33.66865633968882     ¡Ì
point:(1461.097022912455, 482.9424813107658)   distance=199.09702291245503
point:(1138.3553430194277, 799.7038645215356)   distance=123.64465698057234     ¡Ì
point:(1179.8655635016014, 115.54526713509301)   distance=82.1344364983986     ¡Ì
point:(990.6040245240747, 516.7242341219253)   distance=271.3959754759253
point:(1097.8479829384003, 395.7524825575126)   distance=164.15201706159974
point:(1228.3313436603112, 509.3888384887556)   distance=33.66865633968882     ¡Ì
point:(1241.669182221151, 615.7299243400771)   distance=20.330817778848996     ¡Ì
point:(969.4662818930046, 624.6365110022515)   distance=292.53371810699537
point:(854.0177996450514, 257.8422780187565)   distance=407.98220035494865
point:(875.6976590575599, 622.2117645795013)   distance=386.3023409424401
point:(1110.0878890777044, 515.4454064984429)   distance=151.9121109222956
point:(1097.8479829384003, 395.7524825575126)   distance=164.15201706159974
point:(1110.0878890777044, 515.4454064984429)   distance=151.9121109222956
point:(1345.3343882718946, 498.55453009286316)   distance=83.33438827189457     ¡Ì
point:(1224.344307897587, 477.3787010782345)   distance=37.65569210241301     ¡Ì
point:(1209.4957464771467, 510.67895352425853)   distance=52.50425352285333     ¡Ì
point:(980.8707615523379, 396.14952439133606)   distance=281.12923844766215
point:(1097.8479829384003, 395.7524825575126)   distance=164.15201706159974
point:(990.6040245240747, 516.7242341219253)   distance=271.3959754759253
point:(1400.2600507093348, 845.5714165398152)   distance=138.2600507093348     ¡Ì
point:(1111.205490940215, 623.0169480586871)   distance=150.794509059785
point:(980.8707615523379, 396.14952439133606)   distance=281.12923844766215
point:(869.879749999422, 513.2253213592028)   distance=392.12025000057804
point:(1110.0878890777044, 515.4454064984429)   distance=151.9121109222956
point:(990.6040245240747, 516.7242341219253)   distance=271.3959754759253
point:(927.8506022050746, -210.84983753051733)   distance=334.14939779492545
point:(1110.0878890777044, 515.4454064984429)   distance=151.9121109222956
point:(1097.8479829384003, 395.7524825575126)   distance=164.15201706159974
point:(1244.07994120114, 792.7153113574104)   distance=17.920058798860055     ¡Ì
point:(990.6040245240747, 516.7242341219253)   distance=271.3959754759253
point:(862.6531301952525, 391.7688258389544)   distance=399.3468698047475
point:(1138.3553430194277, 799.7038645215356)   distance=123.64465698057234     ¡Ì
point:(1144.9604061746056, 869.5165792626672)   distance=117.03959382539438     ¡Ì
point:(1110.0878890777044, 515.4454064984429)   distance=151.9121109222956
point:(1137.8987708362572, 621.9845285787645)   distance=124.1012291637428     ¡Ì
point:(1120.9190844709772, 622.6682781394235)   distance=141.08091552902283     ¡Ì
point:(986.8797646249038, 469.9907565056836)   distance=275.1202353750962
point:(980.8707615523379, 396.14952439133606)   distance=281.12923844766215
point:(1228.3313436603112, 509.3888384887556)   distance=33.66865633968882     ¡Ì
point:(1213.5847943534395, 390.5777003374843)   distance=48.41520564656048     ¡Ì
point:(1136.2078762613917, 514.522891661448)   distance=125.79212373860832     ¡Ì
point:(1241.669182221151, 615.7299243400771)   distance=20.330817778848996     ¡Ì
point:(854.0177996450514, 257.8422780187565)   distance=407.98220035494865
point:(1015.4499689507065, 874.3225500447857)   distance=246.55003104929347
point:(1110.0878890777044, 515.4454064984429)   distance=151.9121109222956
point:(1400.2600507093348, 845.5714165398152)   distance=138.2600507093348     ¡Ì
point:(862.6531301952525, 391.7688258389544)   distance=399.3468698047475
point:(1328.0811957974556, 380.6251777312509)   distance=66.08119579745562     ¡Ì
point:(998.9285767497802, 624.8288915525649)   distance=263.0714232502198
point:(1213.5847943534395, 390.5777003374843)   distance=48.41520564656048     ¡Ì
point:(1097.8479829384003, 395.7524825575126)   distance=164.15201706159974
point:(883.107344935741, 802.7744941202495)   distance=378.892655064259
point:(1097.8479829384003, 395.7524825575126)   distance=164.15201706159974
point:(875.6976590575599, 622.2117645795013)   distance=386.3023409424401
point:(1011.3515489630959, 803.628049513995)   distance=250.64845103690413
point:(846.9280879549639, 153.69370720408517)   distance=415.07191204503613
point:(1228.3313436603112, 509.3888384887556)   distance=33.66865633968882     ¡Ì
point:(1097.8479829384003, 395.7524825575126)   distance=164.15201706159974
point:(943.2187081609378, -40.394918600129586)   distance=318.7812918390622
point:(980.8707615523379, 396.14952439133606)   distance=281.12923844766215
point:(1097.8479829384003, 395.7524825575126)   distance=164.15201706159974
point:(980.8707615523379, 396.14952439133606)   distance=281.12923844766215
point:(880.1068573696662, 718.7281554998502)   distance=381.89314263033384
point:(1212.8022841504667, 617.8308591751421)   distance=49.197715849533324     ¡Ì
point:(1084.1993660530643, 263.5895063166329)   distance=177.8006339469357
point:(1213.5847943534395, 390.5777003374843)   distance=48.41520564656048     ¡Ì
point:(1328.0811957974556, 380.6251777312509)   distance=66.08119579745562     ¡Ì
point:(763.3327712922542, 712.9119413020218)   distance=498.66722870774583
point:(1138.3553430194277, 799.7038645215356)   distance=123.64465698057234     ¡Ì
point:(1361.178870000302, 604.0138301545256)   distance=99.17887000030191     ¡Ì
point:(1097.8479829384003, 395.7524825575126)   distance=164.15201706159974
point:(1400.2600507093348, 845.5714165398152)   distance=138.2600507093348     ¡Ì
point:(875.6976590575599, 622.2117645795013)   distance=386.3023409424401
point:(1253.5983100359597, 709.600957891449)   distance=8.401689964040315     ¡Ì
point:(978.9320811789827, 263.3193627234764)   distance=283.0679188210173
point:(1228.3313436603112, 509.3888384887556)   distance=33.66865633968882     ¡Ì
point:(1479.44814780843, 587.5199955827693)   distance=217.4481478084299
point:(869.879749999422, 513.2253213592028)   distance=392.12025000057804
point:(1110.0878890777044, 515.4454064984429)   distance=151.9121109222956
point:(1270.4646326775046, 613.3537916587666)   distance=8.464632677504596     ¡Ì
point:(990.6040245240747, 516.7242341219253)   distance=271.3959754759253
point:(969.7287878345694, 263.10476236079717)   distance=292.2712121654306
point:(862.6531301952525, 391.7688258389544)   distance=399.3468698047475
point:(1097.8479829384003, 395.7524825575126)   distance=164.15201706159974
point:(883.107344935741, 802.7744941202495)   distance=378.892655064259
point:(1011.3515489630959, 803.628049513995)   distance=250.64845103690413
point:(1084.1993660530643, 263.5895063166329)   distance=177.8006339469357
point:(1138.3553430194277, 799.7038645215356)   distance=123.64465698057234     ¡Ì
point:(1130.341569118218, 717.4210974804544)   distance=131.6584308817819     ¡Ì
point:(1253.5983100359597, 709.600957891449)   distance=8.401689964040315     ¡Ì
point:(880.1068573696662, 718.7281554998502)   distance=381.89314263033384
point:(1273.2304334274818, 859.9328680943437)   distance=11.230433427481785     ¡Ì
point:(1120.9190844709772, 622.6682781394235)   distance=141.08091552902283     ¡Ì
point:(1084.1993660530643, 263.5895063166329)   distance=177.8006339469357
point:(1019.3932774063032, 516.8530454155115)   distance=242.60672259369676
point:(1138.3553430194277, 799.7038645215356)   distance=123.64465698057234     ¡Ì
point:(1110.0878890777044, 515.4454064984429)   distance=151.9121109222956
point:(1011.3515489630959, 803.628049513995)   distance=250.64845103690413
point:(1052.272637476965, 263.93537423992836)   distance=209.72736252303503
point:(875.6976590575599, 622.2117645795013)   distance=386.3023409424401
point:(1005.8444182294538, 720.4634966832548)   distance=256.1555817705462
point:(1005.8444182294538, 720.4634966832548)   distance=256.1555817705462
point:(869.879749999422, 513.2253213592028)   distance=392.12025000057804
point:(1028.3194239922248, 624.7460742566328)   distance=233.68057600777524
point:(1097.8479829384003, 395.7524825575126)   distance=164.15201706159974
point:(1241.669182221151, 615.7299243400771)   distance=20.330817778848996     ¡Ì
point:(1120.9190844709772, 622.6682781394235)   distance=141.08091552902283     ¡Ì
point:(1011.3515489630959, 803.628049513995)   distance=250.64845103690413
point:(1228.3313436603112, 509.3888384887556)   distance=33.66865633968882     ¡Ì
point:(1005.8444182294538, 720.4634966832548)   distance=256.1555817705462
point:(1095.3132270390238, 801.574149890304)   distance=166.6867729609762
point:(1273.2304334274818, 859.9328680943437)   distance=11.230433427481785     ¡Ì
Y
point:(1264.1187271047365, 791.0019391428712)   distance=116.00193914287115     ¡Ì
point:(1097.8479829384003, 395.7524825575126)   distance=279.2475174424874
point:(969.7287878345694, 263.10476236079717)   distance=411.89523763920283
point:(1361.178870000302, 604.0138301545256)   distance=70.98616984547436     ¡Ì
point:(1097.8479829384003, 395.7524825575126)   distance=279.2475174424874
point:(1228.3313436603112, 509.3888384887556)   distance=165.6111615112444
point:(1461.097022912455, 482.9424813107658)   distance=192.0575186892342
point:(1138.3553430194277, 799.7038645215356)   distance=124.70386452153559     ¡Ì
point:(1179.8655635016014, 115.54526713509301)   distance=559.454732864907
point:(990.6040245240747, 516.7242341219253)   distance=158.2757658780747
point:(1097.8479829384003, 395.7524825575126)   distance=279.2475174424874
point:(1228.3313436603112, 509.3888384887556)   distance=165.6111615112444
point:(1241.669182221151, 615.7299243400771)   distance=59.270075659922895     ¡Ì
point:(969.4662818930046, 624.6365110022515)   distance=50.363488997748505     ¡Ì
point:(854.0177996450514, 257.8422780187565)   distance=417.1577219812435
point:(875.6976590575599, 622.2117645795013)   distance=52.78823542049872     ¡Ì
point:(1110.0878890777044, 515.4454064984429)   distance=159.55459350155706
point:(1097.8479829384003, 395.7524825575126)   distance=279.2475174424874
point:(1110.0878890777044, 515.4454064984429)   distance=159.55459350155706
point:(1345.3343882718946, 498.55453009286316)   distance=176.44546990713684
point:(1224.344307897587, 477.3787010782345)   distance=197.62129892176551
point:(1209.4957464771467, 510.67895352425853)   distance=164.32104647574147
point:(980.8707615523379, 396.14952439133606)   distance=278.85047560866394
point:(1097.8479829384003, 395.7524825575126)   distance=279.2475174424874
point:(990.6040245240747, 516.7242341219253)   distance=158.2757658780747
point:(1400.2600507093348, 845.5714165398152)   distance=170.57141653981523
point:(747.9150655037463, 504.9486682102751)   distance=170.05133178972488
point:(1111.205490940215, 623.0169480586871)   distance=51.98305194131285     ¡Ì
point:(980.8707615523379, 396.14952439133606)   distance=278.85047560866394
point:(869.879749999422, 513.2253213592028)   distance=161.77467864079722
point:(1110.0878890777044, 515.4454064984429)   distance=159.55459350155706
point:(990.6040245240747, 516.7242341219253)   distance=158.2757658780747
point:(1110.0878890777044, 515.4454064984429)   distance=159.55459350155706
point:(1097.8479829384003, 395.7524825575126)   distance=279.2475174424874
point:(1244.07994120114, 792.7153113574104)   distance=117.71531135741043     ¡Ì
point:(990.6040245240747, 516.7242341219253)   distance=158.2757658780747
point:(862.6531301952525, 391.7688258389544)   distance=283.2311741610456
point:(1138.3553430194277, 799.7038645215356)   distance=124.70386452153559     ¡Ì
point:(1144.9604061746056, 869.5165792626672)   distance=194.51657926266716
point:(1110.0878890777044, 515.4454064984429)   distance=159.55459350155706
point:(1137.8987708362572, 621.9845285787645)   distance=53.015471421235475     ¡Ì
point:(1120.9190844709772, 622.6682781394235)   distance=52.33172186057652     ¡Ì
point:(986.8797646249038, 469.9907565056836)   distance=205.00924349431642
point:(980.8707615523379, 396.14952439133606)   distance=278.85047560866394
point:(1228.3313436603112, 509.3888384887556)   distance=165.6111615112444
point:(1213.5847943534395, 390.5777003374843)   distance=284.4222996625157
point:(1136.2078762613917, 514.522891661448)   distance=160.47710833855194
point:(1241.669182221151, 615.7299243400771)   distance=59.270075659922895     ¡Ì
point:(854.0177996450514, 257.8422780187565)   distance=417.1577219812435
point:(1015.4499689507065, 874.3225500447857)   distance=199.32255004478566
point:(1110.0878890777044, 515.4454064984429)   distance=159.55459350155706
point:(1400.2600507093348, 845.5714165398152)   distance=170.57141653981523
point:(862.6531301952525, 391.7688258389544)   distance=283.2311741610456
point:(1328.0811957974556, 380.6251777312509)   distance=294.3748222687491
point:(998.9285767497802, 624.8288915525649)   distance=50.17110844743513     ¡Ì
point:(1213.5847943534395, 390.5777003374843)   distance=284.4222996625157
point:(1097.8479829384003, 395.7524825575126)   distance=279.2475174424874
point:(883.107344935741, 802.7744941202495)   distance=127.77449412024953     ¡Ì
point:(1097.8479829384003, 395.7524825575126)   distance=279.2475174424874
point:(875.6976590575599, 622.2117645795013)   distance=52.78823542049872     ¡Ì
point:(1011.3515489630959, 803.628049513995)   distance=128.62804951399505     ¡Ì
point:(846.9280879549639, 153.69370720408517)   distance=521.3062927959148
point:(1228.3313436603112, 509.3888384887556)   distance=165.6111615112444
point:(1097.8479829384003, 395.7524825575126)   distance=279.2475174424874
point:(943.2187081609378, -40.394918600129586)   distance=715.3949186001296
point:(980.8707615523379, 396.14952439133606)   distance=278.85047560866394
point:(1097.8479829384003, 395.7524825575126)   distance=279.2475174424874
point:(980.8707615523379, 396.14952439133606)   distance=278.85047560866394
point:(880.1068573696662, 718.7281554998502)   distance=43.72815549985023     ¡Ì
point:(1212.8022841504667, 617.8308591751421)   distance=57.16914082485789     ¡Ì
point:(1084.1993660530643, 263.5895063166329)   distance=411.4104936833671
point:(1213.5847943534395, 390.5777003374843)   distance=284.4222996625157
point:(1328.0811957974556, 380.6251777312509)   distance=294.3748222687491
point:(763.3327712922542, 712.9119413020218)   distance=37.91194130202177     ¡Ì
point:(1138.3553430194277, 799.7038645215356)   distance=124.70386452153559     ¡Ì
point:(1361.178870000302, 604.0138301545256)   distance=70.98616984547436     ¡Ì
point:(1097.8479829384003, 395.7524825575126)   distance=279.2475174424874
point:(1400.2600507093348, 845.5714165398152)   distance=170.57141653981523
point:(875.6976590575599, 622.2117645795013)   distance=52.78823542049872     ¡Ì
point:(1253.5983100359597, 709.600957891449)   distance=34.60095789144896     ¡Ì
point:(978.9320811789827, 263.3193627234764)   distance=411.6806372765236
point:(1228.3313436603112, 509.3888384887556)   distance=165.6111615112444
point:(1479.44814780843, 587.5199955827693)   distance=87.4800044172307     ¡Ì
point:(869.879749999422, 513.2253213592028)   distance=161.77467864079722
point:(1110.0878890777044, 515.4454064984429)   distance=159.55459350155706
point:(1270.4646326775046, 613.3537916587666)   distance=61.64620834123343     ¡Ì
point:(990.6040245240747, 516.7242341219253)   distance=158.2757658780747
point:(969.7287878345694, 263.10476236079717)   distance=411.89523763920283
point:(862.6531301952525, 391.7688258389544)   distance=283.2311741610456
point:(1097.8479829384003, 395.7524825575126)   distance=279.2475174424874
point:(883.107344935741, 802.7744941202495)   distance=127.77449412024953     ¡Ì
point:(1011.3515489630959, 803.628049513995)   distance=128.62804951399505     ¡Ì
point:(1084.1993660530643, 263.5895063166329)   distance=411.4104936833671
point:(1138.3553430194277, 799.7038645215356)   distance=124.70386452153559     ¡Ì
point:(1130.341569118218, 717.4210974804544)   distance=42.421097480454364     ¡Ì
point:(1253.5983100359597, 709.600957891449)   distance=34.60095789144896     ¡Ì
point:(880.1068573696662, 718.7281554998502)   distance=43.72815549985023     ¡Ì
point:(1273.2304334274818, 859.9328680943437)   distance=184.9328680943437
point:(1120.9190844709772, 622.6682781394235)   distance=52.33172186057652     ¡Ì
point:(1084.1993660530643, 263.5895063166329)   distance=411.4104936833671
point:(1019.3932774063032, 516.8530454155115)   distance=158.14695458448853
point:(1138.3553430194277, 799.7038645215356)   distance=124.70386452153559     ¡Ì
point:(1110.0878890777044, 515.4454064984429)   distance=159.55459350155706
point:(1011.3515489630959, 803.628049513995)   distance=128.62804951399505     ¡Ì
point:(1052.272637476965, 263.93537423992836)   distance=411.06462576007164
point:(875.6976590575599, 622.2117645795013)   distance=52.78823542049872     ¡Ì
point:(1005.8444182294538, 720.4634966832548)   distance=45.46349668325479     ¡Ì
point:(1005.8444182294538, 720.4634966832548)   distance=45.46349668325479     ¡Ì
point:(869.879749999422, 513.2253213592028)   distance=161.77467864079722
point:(1028.3194239922248, 624.7460742566328)   distance=50.253925743367176     ¡Ì
point:(1097.8479829384003, 395.7524825575126)   distance=279.2475174424874
point:(1241.669182221151, 615.7299243400771)   distance=59.270075659922895     ¡Ì
point:(1120.9190844709772, 622.6682781394235)   distance=52.33172186057652     ¡Ì
point:(1011.3515489630959, 803.628049513995)   distance=128.62804951399505     ¡Ì
point:(1228.3313436603112, 509.3888384887556)   distance=165.6111615112444
point:(1005.8444182294538, 720.4634966832548)   distance=45.46349668325479     ¡Ì
point:(1095.3132270390238, 801.574149890304)   distance=126.57414989030406     ¡Ì
point:(1273.2304334274818, 859.9328680943437)   distance=184.9328680943437
XY
realPoint:(1322,530)
critical distance is 144.00
point:(8909.93378757592, -2883.778101259196)   distance=8320.493981085083
point:(905.5258948336904, 1030.0139550286833)   distance=650.7416042466507
point:(1112.5197018482218, 1112.7188865302069)   distance=619.2279838902325
point:(1419.7463055719263, 376.0207202581222)   distance=182.38409701174018
point:(1285.7168141186307, 992.8869153416739)   distance=464.3067584821828
point:(1188.320431345178, 799.597039453952)   distance=300.9199075469668
point:(1780.2786272755836, 617.5460160740523)   distance=466.5657565103032
point:(1668.766694555356, 505.7229435713049)   distance=347.6154713497223
point:(1575.2777960094324, 386.9411139225485)   distance=290.88741264811875
point:(1611.9030938694557, 799.5891540245801)   distance=395.8814415993395
point:(1849.6149301501111, -109.34775896157237)   distance=828.9409336053393
point:(1893.636056499517, 415.6934416001718)   distance=582.9526313376863
point:(1863.9361140269325, 719.2765272963236)   distance=574.0386358704162
point:(1825.5773873372239, 518.5202752663574)   distance=503.70821823486716
point:(1627.052251892736, 607.4794399142206)   distance=314.7378909414158
point:(1475.4990208356203, 700.8023938358957)   distance=229.64191067304463
point:(1893.636056499517, 415.6934416001718)   distance=582.9526313376863
point:(1930.4694771471356, 177.6468973916132)   distance=703.127167401079
point:(1780.2786272755836, 617.5460160740523)   distance=466.5657565103032
point:(1316.1088819781864, 697.674742498195)   distance=167.77820044148444
point:(1419.7463055719263, 376.0207202581222)   distance=182.38409701174018
point:(1627.052251892736, 607.4794399142206)   distance=314.7378909414158
point:(1327.082892314913, 797.2905641945711)   distance=267.3388888690478
point:(1611.9030938694557, 799.5891540245801)   distance=395.8814415993395
point:(1575.2777960094324, 386.9411139225485)   distance=290.88741264811875
point:(1476.2576363815792, 599.7167105373126)   distance=169.28035358592248
point:(1460.8874202186325, 700.4028695569586)   distance=219.83369497925673
point:(1225.6386681815777, 898.1425238270583)   distance=380.544904209183
point:(1476.2576363815792, 599.7167105373126)   distance=169.28035358592248
point:(1188.875595579833, 240.8097690772596)   distance=318.36001117189966
point:(1362.4405886066932, 487.0398205299705)   distance=59.000154465500735     ¡Ì
